iteration,timesteps,winrate,games,games_won,avg_reward
7,250000,0.5602380374058781,8234,4613,3.1200173
7,260000,0.5593972666744539,8561,4789,3.1176288
7,270000,0.5578568212516885,8884,4956,3.1427674
7,280000,0.5575105897686543,9207,5133,3.1616123
7,290000,0.5579687336061274,9531,5318,3.1891713
7,300000,0.5578210590383444,9858,5499,3.205651
7,310000,0.5563954059094924,10187,5668,3.2071376
7,320000,0.557648401826484,10512,5862,3.2278566
7,330000,0.5579355553503832,10831,6043,3.2481997
7,340000,0.5583542488347077,11156,6229,3.267898
7,350000,0.5583522034488765,11482,6411,3.281805
7,360000,0.5587562484114208,11803,6595,3.3000174
7,370000,0.5590174744477415,12132,6782,3.3165612
7,380000,0.5599775334991575,12463,6979,3.3425457
7,390000,0.5602470873406834,12789,7165,3.3710043
7,400000,0.5603599481430641,13113,7348,3.3825657
7,410000,0.5594405594405595,13442,7520,3.387717
7,420000,0.5591311927938399,13766,7697,3.3882458
7,430000,0.5592450688236129,14094,7882,3.4081676
7,440000,0.5594454072790295,14425,8070,3.4215477
7,450000,0.5601572561512913,14753,8264,3.426478
7,460000,0.5599628548686655,15076,8442,3.4240067
7,470000,0.559797428905337,15402,8622,3.4202585
7,480000,0.5612718600953895,15725,8826,3.428498
7,490000,0.5623325649492243,16051,9026,3.4402432
7,500000,0.5615652280080581,16381,9199,3.4342737
7,510000,0.5609624708206141,16707,9372,3.4295585
7,520000,0.5603756970942178,17035,9546,3.430181
7,530000,0.5595875813605207,17361,9715,3.4265785
7,540000,0.5590796019900498,17688,9889,3.424408
7,550000,0.5591385913304102,18017,10074,3.4306173
7,560000,0.5579848427021428,18341,10234,3.4276993
7,570000,0.5584707646176912,18676,10430,3.4380672
7,580000,0.5584907646161132,19003,10613,3.44799
7,590000,0.5584765058993997,19324,10792,3.4534857
7,600000,0.5592875318066157,19650,10990,3.4654436
7,610000,0.5588765395013517,19974,11163,3.467947
7,620000,0.5583136327817179,20304,11336,3.4665275
7,630000,0.5575208373715836,20636,11505,3.4655638
7,640000,0.5578666157809369,20962,11694,3.470097
7,650000,0.5572153325817362,21288,11862,3.4693148
7,660000,0.5573960116596492,21613,12047,3.477036
7,670000,0.5571207148067104,21936,12221,3.4840257
7,680000,0.5569580450992723,22262,12399,3.4850411
7,690000,0.5569031915364526,22591,12581,3.4879773
7,700000,0.5565687857236354,22919,12756,3.4835024
7,710000,0.5569609361555671,23244,12946,3.4899457
7,720000,0.5565361279646994,23569,13117,3.4875426
7,730000,0.5569365976145637,23895,13308,3.4927387
7,740000,0.5570001650982335,24228,13495,3.498411
7,750000,0.5573790519628604,24556,13687,3.5018775
7,760000,0.5579264617239301,24885,13884,3.5075192
7,770000,0.558059269250605,25207,14067,3.50465
7,780000,0.5587106376312079,25532,14265,3.518245
7,790000,0.5588519707577457,25853,14448,3.5265825
7,800000,0.5586494022382644,26181,14626,3.5287323
7,810000,0.5592120160012076,26498,14818,3.5329664
7,820000,0.5588114677701972,26823,14989,3.531769
7,830000,0.5586339019268319,27143,15163,3.5312693
7,840000,0.5584595224228305,27472,15342,3.5240293
7,850000,0.5585896744018708,27795,15526,3.5278697
7,860000,0.5590556780203371,28126,15724,3.5383506
7,870000,0.559589498471163,28453,15922,3.5393229
7,880000,0.5595440803419397,28777,16102,3.5439885
7,890000,0.5592136916626572,29098,16272,3.5492735
7,900000,0.5592114208021753,29420,16452,3.55213
7,910000,0.5589441829186281,29740,16623,3.551747
7,920000,0.5588264644247081,30063,16800,3.5527182
7,930000,0.5584877101773551,30391,16973,3.551435
7,940000,0.5587603359593724,30718,17164,3.5597522
7,950000,0.558612247527623,31043,17341,3.5586176
7,960000,0.5588535356755723,31366,17529,3.5620153
7,970000,0.5589952349395689,31689,17714,3.5638225
7,980000,0.5589980635892311,32018,17898,3.5674238
7,990000,0.5593445663935693,32345,18092,3.5733647
7,1000000,0.559640047748768,32671,18284,3.5736642
8,10000,0.5041782729805014,359,181,0.18044697
8,20000,0.515625,704,363,0.51081085
8,30000,0.5455417066155321,1043,569,1.1239924
8,40000,0.5569253081943437,1379,768,1.6504354
8,50000,0.5569176882661997,1713,954,1.9159464
8,60000,0.557513460597161,2043,1139,2.0938787
8,70000,0.5649978965082036,2377,1343,2.277315
8,80000,0.5553498704183636,2701,1500,2.274556
8,90000,0.5540853456830963,3023,1675,2.4305098
8,100000,0.5595344673231871,3351,1875,2.5499406
8,110000,0.5609026644915716,3678,2063,2.637286
8,120000,0.5599101347978033,4006,2243,2.6820476
8,130000,0.5581180811808119,4336,2420,2.7490659
8,140000,0.5530774179712631,4663,2579,2.797383
8,150000,0.5513026052104208,4990,2751,2.8285227
8,160000,0.5520225776105362,5315,2934,2.8817651
8,170000,0.5547484053862509,5644,3131,2.9181995
8,180000,0.5560207670406967,5971,3320,3.0059967
